lane_id,x,y,z,lane_type
0,0.0,0.0,0.0,1
0,5.0,0.0,0.0,1
0,10.0,0.0,0.0,1
0,15.0,0.0,0.0,1
0,20.0,0.0,0.0,1
0,25.0,0.0,0.0,1
0,30.0,0.0,0.0,1
0,35.0,0.0,0.0,1
0,40.0,0.0,0.0,1
0,45.0,0.0,0.0,1
0,50.0,0.0,0.0,1
0,55.0,0.0,0.0,1
0,60.0,0.0,0.0,1
0,65.0,0.5,0.0,1
0,70.0,1.5,0.0,1
0,75.0,3.0,0.0,1
0,80.0,5.0,0.0,1
0,85.0,7.5,0.0,1
0,90.0,10.5,0.0,1
0,95.0,14.0,0.0,1
0,100.0,17.5,0.0,1
0,105.0,21.5,0.0,1
0,110.0,25.5,0.0,1
0,115.0,29.5,0.0,1
0,120.0,33.0,0.0,1
0,125.0,36.0,0.0,1
0,130.0,38.5,0.0,1
0,135.0,40.5,0.0,1
0,140.0,42.0,0.0,1
0,145.0,43.0,0.0,1
0,150.0,43.5,0.0,1
0,155.0,43.5,0.0,1
0,160.0,43.0,0.0,1
0,165.0,42.0,0.0,1
0,170.0,40.5,0.0,1
0,175.0,38.5,0.0,1
0,180.0,36.0,0.0,1
0,185.0,33.0,0.0,1
0,190.0,29.5,0.0,1
0,195.0,25.5,0.0,1
0,200.0,21.5,0.0,1
0,205.0,17.5,0.0,1
0,210.0,14.0,0.0,1
0,215.0,10.5,0.0,1
0,220.0,7.5,0.0,1
0,225.0,5.0,0.0,1
0,230.0,3.0,0.0,1
0,235.0,1.5,0.0,1
0,240.0,0.5,0.0,1
0,245.0,0.0,0.0,1
0,250.0,0.0,0.0,1
1,0.0,3.5,0.0,2
1,5.0,3.5,0.0,2
1,10.0,3.5,0.0,2
1,15.0,3.5,0.0,2
1,20.0,3.5,0.0,2
1,25.0,3.5,0.0,2
1,30.0,3.5,0.0,2
1,35.0,3.5,0.0,2
1,40.0,3.5,0.0,2
1,45.0,3.5,0.0,2
1,50.0,3.5,0.0,2
1,55.0,3.5,0.0,2
1,60.0,3.5,0.0,2
1,65.0,4.0,0.0,2
1,70.0,5.0,0.0,2
1,75.0,6.5,0.0,2
1,80.0,8.5,0.0,2
1,85.0,11.0,0.0,2
1,90.0,14.0,0.0,2
1,95.0,17.5,0.0,2
1,100.0,21.0,0.0,2
1,105.0,25.0,0.0,2
1,110.0,29.0,0.0,2
1,115.0,33.0,0.0,2
1,120.0,36.5,0.0,2
1,125.0,39.5,0.0,2
1,130.0,42.0,0.0,2
1,135.0,44.0,0.0,2
1,140.0,45.5,0.0,2
1,145.0,46.5,0.0,2
1,150.0,47.0,0.0,2
1,155.0,47.0,0.0,2
1,160.0,46.5,0.0,2
1,165.0,45.5,0.0,2
1,170.0,44.0,0.0,2
1,175.0,42.0,0.0,2
1,180.0,39.5,0.0,2
1,185.0,36.5,0.0,2
1,190.0,33.0,0.0,2
1,195.0,29.0,0.0,2
1,200.0,25.0,0.0,2
1,205.0,21.0,0.0,2
1,210.0,17.5,0.0,2
1,215.0,14.0,0.0,2
1,220.0,11.0,0.0,2
1,225.0,8.5,0.0,2
1,230.0,6.5,0.0,2
1,235.0,5.0,0.0,2
1,240.0,4.0,0.0,2
1,245.0,3.5,0.0,2
1,250.0,3.5,0.0,2
2,0.0,7.0,0.0,1
2,5.0,7.0,0.0,1
2,10.0,7.0,0.0,1
2,15.0,7.0,0.0,1
2,20.0,7.0,0.0,1
2,25.0,7.0,0.0,1
2,30.0,7.0,0.0,1
2,35.0,7.0,0.0,1
2,40.0,7.0,0.0,1
2,45.0,7.0,0.0,1
2,50.0,7.0,0.0,1
2,55.0,7.0,0.0,1
2,60.0,7.0,0.0,1
2,65.0,7.5,0.0,1
2,70.0,8.5,0.0,1
2,75.0,10.0,0.0,1
2,80.0,12.0,0.0,1
2,85.0,14.5,0.0,1
2,90.0,17.5,0.0,1
2,95.0,21.0,0.0,1
2,100.0,24.5,0.0,1
2,105.0,28.5,0.0,1
2,110.0,32.5,0.0,1
2,115.0,36.5,0.0,1
2,120.0,40.0,0.0,1
2,125.0,43.0,0.0,1
2,130.0,45.5,0.0,1
2,135.0,47.5,0.0,1
2,140.0,49.0,0.0,1
2,145.0,50.0,0.0,1
2,150.0,50.5,0.0,1
2,155.0,50.5,0.0,1
2,160.0,50.0,0.0,1
2,165.0,49.0,0.0,1
2,170.0,47.5,0.0,1
2,175.0,45.5,0.0,1
2,180.0,43.0,0.0,1
2,185.0,40.0,0.0,1
2,190.0,36.5,0.0,1
2,195.0,32.5,0.0,1
2,200.0,28.5,0.0,1
2,205.0,24.5,0.0,1
2,210.0,21.0,0.0,1
2,215.0,17.5,0.0,1
2,220.0,14.5,0.0,1
2,225.0,12.0,0.0,1
2,230.0,10.0,0.0,1
2,235.0,8.5,0.0,1
2,240.0,7.5,0.0,1
2,245.0,7.0,0.0,1
2,250.0,7.0,0.0,1
